ERP05.1 vs ERP05.2,0.214213
ERP05.2 vs ERP05.3,0.165353
ERP05.3 vs ERP05.4,-0.0140566
ERP05.4 vs ERP05.5,0.0665097
ERP05.5 vs ERP05.6,0.326494
ERP05.6 vs ERP05.7,0.0930149
ERP05.7 vs ERP05.8,0.0844181
ERP05.8 vs ERP05.9,0.181161
ERP05.9 vs ERP05.10,0.340975
ERP05.10 vs ERP05.11,0.249767
ERP05.11 vs ERP05.12,0.285668
ERP05.12 vs ERP05.13,0.157578
ERP05.13 vs ERP05.14,0.145277
ERP05.14 vs ERP05.15,0.121918
ERP05.15 vs ERP05.16,0.354867
ERP05.16 vs ERP05.17,0.237032
ERP05.17 vs ERP05.18,0.40021
ERP05.18 vs ERP05.19,0.120053
ERP05.19 vs ERP05.20,0.076924
ERP05.20 vs ERP05.21,0.160064
ERP05.21 vs ERP05.22,0.212053
ERP05.22 vs ERP05.23,0.0229658
ERP05.23 vs ERP05.24,0.0232908
ERP05.24 vs ERP05.25,0.161798
ERP05.25 vs ERP05.26,-0.00284154
ERP05.26 vs ERP05.27,0.196338
ERP05.27 vs ERP05.28,0.058298
ERP05.28 vs ERP05.29,0.0697413
ERP05.29 vs ERP05.30,0.340272
ERP05.30 vs ERP05.31,0.343207
ERP05.31 vs ERP05.32,0.145901
ERP05.32 vs ERP05.33,0.0597702
ERP05.33 vs ERP05.34,0.18832
ERP05.34 vs ERP05.35,0.33991
ERP05.35 vs ERP05.36,0.0504403
ERP05.36 vs ERP05.37,0.214935
ERP05.37 vs ERP05.38,0.241467
ERP05.38 vs ERP05.39,0.0556242
ERP05.39 vs ERP05.40,-0.00108511
ERP05.40 vs ERP05.41,-0.0612633
ERP05.41 vs ERP05.42,0.130648
ERP05.42 vs ERP05.43,0.143761
ERP05.43 vs ERP05.44,0.22637
ERP05.44 vs ERP05.45,0.0216043
ERP05.45 vs ERP05.46,0.174838
ERP05.46 vs ERP05.47,-0.00389424
ERP05.47 vs ERP05.48,0.109326
ERP05.48 vs ERP05.49,0.0188381
ERP05.49 vs ERP05.50,0.310074
ERP05.50 vs ERP05.51,0.22807
ERP05.51 vs ERP05.52,0.155747
ERP05.52 vs ERP05.53,0.219459
ERP05.53 vs ERP05.54,0.201952
ERP05.54 vs ERP05.55,0.230134
ERP05.55 vs ERP05.56,0.16827
ERP05.56 vs ERP05.57,0.136701
ERP05.57 vs ERP05.58,0.193909
ERP05.58 vs ERP05.59,0.183781
ERP05.59 vs ERP05.60,0.13913
